id,name,followers,popularity
0y2UIyqXN4KctxsMLgSMhm,Nolberto Al k la,12756,43
3QZEbpYuO36TVmqHEbxpkZ,Escalandrum,11311,30
6Hs8U0JO2nacXFG4kp15Co,Chico Trujillo,191599,55
0TLoZhTnP0vyp61bIO4FgF,Los Sacheros,11691,35
06s35sbFfZJUEwFjAaZfiW,Cookin Soul,76227,58
2qA6QJKyk9W627mEn65hob,Raúl Carnota,16326,34
04P5kEdUJHjng2DzTXhy1C,Enrique Maza y La Verdadera,5482,33
2N4oh0cKq5FwoO94p4DTVK,La Contra,17354,48
35C2ZfgMovQotan3rNrYT3,Monchito Merlo,6432,31
0l3lrsagH8oE0CAkXdyNMI,El Turco Oliva,8889,35
7FGAi3mSjLMsq6p8SErsTA,Cabezones,26842,38
0SONU0t2JRj0vEdRIUnkir,Grupo Infantil Guarderia Pon,5279,40
0mldH6GcoYEV145HY3GHEk,Los Quilla Huasi,9313,27
18TsWSCZg6GvIcZ9XVhwJw,Aitor,38506,42
6yX2GzaudljEEBKfMZpOXE,Coty Hernández,25556,49
4R5IzlNSizG1oT8Gs4HH6k,Grupo Cali,54009,49
6uLWD7WMJKMyP1DD1eg96R,Cachumba,81040,43
325zdFw59lq0YHEmd5rWtk,Ezequiel El Brujo,21299,43
4NbPIhaePRUz9iZxc9IvWa,Gary,23870,43
1zfAJtfJEpUvMiQxigYj57,Banda de Turistas,38423,37
5d8Cc6SCMo59MdgsnCiWti,Los Olestar,19074,39
1qo1zFHkGHoy8pSFFQkbtw,Los Guaraníes,15470,34
60El5gpHTkzTCmrNz0VG7i,Sonora Skandalo,39791,48
5M5yM2s8dqrvy4y0AJ10Z4,Emus DJ,72894,46
1pmmkE3BIdh9pxHecU09Oo,La banda de Carlitos,84781,40
36ZqMC7zjLgKhxKc1l9g0X,Oriana Sabatini,14062,33
75mIeyYiajAsiAMo735gr7,Luz Mala,19595,31
7nbOE0RhCrS1GrDEaVUVee,Los Besos,10715,39
3SGdv7Nnxz36kYLYcSWuJf,Suna Rocha,5523,25
6pCsEBDlqd9GDJ1SNDlM7f,Roma,5429,24
3MBsvBr8B6mfjO6txfT6uL,Malon,44818,39
7aY9PtsNws5AdwbdktfbaN,Nick Warren,71505,40
7qu4VHtCuPZuduWAawpnUJ,Cumbia Ninja,49037,34
6Gsh7oJoJ5EQUuQk0EhfWL,Malandro,6062,47
6zuShqSKzYP7ZPGMkMFhbL,Chipote,78205,45
5WJWxdQGsrF1G1iX0ixLfb,La Fiesta,76806,45
0gxy0foaJsRc1tfpByJWCK,De La Gran Piñata,40415,39
4FeN9FV6xecISybbcacns8,Granizo Rojo,18545,36
2803Kpv7qVYIAyKWfl2RNc,Los del Portezuelo,12122,39
